ContentChannelName,ItemTitle,ItemContent,ItemStart,ItemExpire,ItemId,ItemParentId,^Podcast^Sub Title,^Podcast^Keyword,^Podcast^Author,^Podcast^Image,^Podcast^Audio URL,^Podcast^VimeoId,^Podcast^Video HD,^Podcast^Video SD,^Podcast^Video Mobile,^Podcast^Video HTTP,^Podcast^Hashtags,^Podcast^Resource
Neighborhoods Series,James,A study through the Book of James.,2012-08-01 06:00:00,2012-12-01 06:00:00,topic_8,,,,,,,,,,,,,
Neighborhoods Series,BLESS Your Neighbors,"Whether covering your neighbors in prayer, sharing a meal with them, or seeking to learn more about their lives, when you ask God to open doors to BLESS your neighbors He will do it.",2013-02-19 08:00:00,2013-02-19 14:00:00,topic_15,,,,,,,,,,,,,
Neighborhoods Series,NNN Special Report: BLESS,Neighborhood Network News investigates reports of people BLESSing their neighbors.,2014-03-02 13:00:00,2014-03-30 13:00:00,topic_50,,,,,,,,,,,,,
Neighborhoods Series,Journey Into Neighborhood,Introduction of the Neighborhood Initiative at Oak Hills Church,2011-02-06 13:00:00,2011-03-13 13:00:00,topic_51,,,,,,,,,,,,,
Neighborhoods Series,Neighborhood Starter Kit,,2012-02-05 13:00:00,2012-03-11 13:00:00,topic_52,,,,,,,,,,,,,
Neighborhoods Series,Foundational Team Captain Training,,2015-09-01 12:00:00,2015-09-01 15:00:00,topic_70,,,,,,,,,,,,,
Neighborhoods Message,James: Chapter 1,An introduction to being a blessing to your neighbors and a group study of James Chapter 1.,2012-08-01 06:00:00,1900-01-01 00:00:00,item_47,topic_8,A Study of James 1,james,Oak Hills Church Community Life,https://i.vimeocdn.com/video/367071748_640.jpg,,52969640,https://player.vimeo.com/external/52969640.hd.mp4?s=248c49a1c60ea5f73e70cd126aaacead,https://player.vimeo.com/external/52969640.sd.mp4?s=0cb17fe15e59d773eeaea133a41d09ae,https://player.vimeo.com/external/52969640.mobile.mp4?s=3a765551ad9b0cf0161e92b894d98a40,"https://player.vimeo.com/external/52969640.m3u8?p=standard,mobile&s=ee28b20f8230fdce19d624b8dae50456",,
Neighborhoods Message,James: Chapter 2,Learn to love your neighbor as yourself as we study James Chapter 2.,2012-09-01 06:00:00,1900-01-01 00:00:00,item_48,topic_8,A Study of James 2,james,Oak Hills Church Community Life,https://i.vimeocdn.com/video/366458208_640.jpg,,52969642,https://player.vimeo.com/external/52969642.hd.mp4?s=96346c9587d4e4ab45662a7c0c401565,https://player.vimeo.com/external/52969642.sd.mp4?s=4cca7a74ccee4a4aadb1160b2460d83d,https://player.vimeo.com/external/52969642.mobile.mp4?s=e669768e42da79ac53f5eed3d3510473,"https://player.vimeo.com/external/52969642.m3u8?p=high,standard,mobile&s=26461190a7f3fe26afb79ca9f8d64158",,
Neighborhoods Message,James: Chapter 3,Learn to see your neighborhood as your mission field as we study James Chapter 3.,2012-10-01 06:00:00,1900-01-01 00:00:00,item_49,topic_8,A Study of James 3,james,Oak Hills Church Community Life,https://i.vimeocdn.com/video/365620519_640.jpg,,52970693,https://player.vimeo.com/external/52970693.hd.mp4?s=81b69f661ec59f62a4d52ba91162be6a,https://player.vimeo.com/external/52970693.sd.mp4?s=bfebca6e8c2d12ddc3711d1d60964185,https://player.vimeo.com/external/52970693.mobile.mp4?s=cb20e4090724a4182c3489319ffae6bd,"https://player.vimeo.com/external/52970693.m3u8?p=high,standard,mobile&s=4eccd3c2a3afceffe20c31fdf51a4798",,
Neighborhoods Message,James: Chapter 4,Join us a we study James Chapter 4 and learn how to overcome the tendency to judge our neighbors.,2012-11-01 06:00:00,1900-01-01 00:00:00,item_50,topic_8,A Study of James 4,james,Oak Hills Church Community Life,https://i.vimeocdn.com/video/367100882_640.jpg,,53171703,https://player.vimeo.com/external/53171703.hd.mp4?s=bf224c1097350fdccd20bbb145be4fb3,https://player.vimeo.com/external/53171703.sd.mp4?s=09f8a70eb355b024859b57e831e861fe,https://player.vimeo.com/external/53171703.mobile.mp4?s=a0de0f3cc3c86e4c1c2b44e437fae105,"https://player.vimeo.com/external/53171703.m3u8?p=high,standard,mobile&s=c3e3f915c7b723037a0de56b6fdda78c",,
Neighborhoods Message,James: Chapter 5,Celebrate the blessings of God as study James Chapter 5.,2012-12-01 06:00:00,1900-01-01 00:00:00,item_51,topic_8,A Study of James 5,james,Oak Hills Church Community Life,https://i.vimeocdn.com/video/458789902_640.jpg,,53171704,https://player.vimeo.com/external/53171704.hd.mp4?s=ab5cbac5d527e073319949961f872bb6,https://player.vimeo.com/external/53171704.sd.mp4?s=d07d7ea33cacf382145be6d53e638672,https://player.vimeo.com/external/53171704.mobile.mp4?s=44f5944d24076cfcf7ef3a0f074d912c,"https://player.vimeo.com/external/53171704.m3u8?p=high,standard,mobile&s=8d8cdaa1246ffb9ef3e48ad2d71512a2",,
Neighborhoods Message,1 Thessalonians: Chapter 1,Discover why community matters and learn about building a positive reputation through this study on 1 Thessalonians.,2013-01-01 08:00:00,1900-01-01 00:00:00,item_77,topic_13,1 Thessalonians,,Oak Hills Church Community Life,https://i.vimeocdn.com/video/398985798_640.jpg,,57491059,https://player.vimeo.com/external/57491059.hd.mp4?s=2f3a8eea53e3a2548eda5e020510a654,https://player.vimeo.com/external/57491059.sd.mp4?s=8038000bc03ee4aa15d87ae4df972ea9,https://player.vimeo.com/external/57491059.mobile.mp4?s=db431ba6673587ce93c249928718786d,"https://player.vimeo.com/external/57491059.m3u8?p=high,standard,mobile&s=1359a248a5b0eeb54bf7637c3b7994cb",,
Neighborhoods Message,BLESS Overview,"Just as God blessed Abraham and called him to be a blessing to to others, we too are called as followers of Christ to be a blessing to our neighbors.",2013-02-19 08:00:00,1900-01-01 00:00:00,item_83,topic_15,BLESS Your Neighbors,,Oak Hills Church Community Life,https://i.vimeocdn.com/video/417415861_640.jpg,,60036044,https://player.vimeo.com/external/60036044.hd.mp4?s=9bbed4d2ed797269467e48925392c83d,https://player.vimeo.com/external/60036044.sd.mp4?s=0001f352354451e7cac3ad6705c1dd54,https://player.vimeo.com/external/60036044.mobile.mp4?s=d4c17288889ea002cf78183c304e63e0,"https://player.vimeo.com/external/60036044.m3u8?p=high,standard,mobile&s=65bc4c9c724fd08927306b537334fe00",,
Neighborhoods Message,Begin With Prayer,"Pray with your Family: Remember your neighbors by name during mealtime and bedtime prayers. Prayer Walk: Walk by yourself or with family, roommates, and other neighbors who are believers. Pray over each home by name as you pass and ask God for opportunities to get to know your neighbors.",2013-02-19 09:00:00,1900-01-01 00:00:00,item_84,topic_15,BLESS Your Neighbors,,Oak Hills Church Community Life,https://i.vimeocdn.com/video/417412942_640.jpg,,60036045,https://player.vimeo.com/external/60036045.hd.mp4?s=51b81b546421341522915efceab31df1,https://player.vimeo.com/external/60036045.sd.mp4?s=fe3321091c547ef068f781dad140c3a9,https://player.vimeo.com/external/60036045.mobile.mp4?s=5e33a5d50b700c2eedca79a15f1c1eeb,"https://player.vimeo.com/external/60036045.m3u8?p=high,standard,mobile&s=07353a799866dcafbf6133664be6dc78",,
Neighborhoods Message,Listen,Ask Open-ended Questions: How long have you lived in SA? What line of work are you in? What do you do for fun? Ask Follow-up Questions: How did that test go? Are you feeling better? How was your vacation?,2013-02-19 10:00:00,1900-01-01 00:00:00,item_85,topic_15,BLESS Your Neighbors,,Oak Hills Church Community Life,https://i.vimeocdn.com/video/417417423_640.jpg,,60036047,https://player.vimeo.com/external/60036047.hd.mp4?s=4de56d454ccb2fdaafef922b6aff5db1,https://player.vimeo.com/external/60036047.sd.mp4?s=3ceef064bb8485c720623d4c0ac97b14,https://player.vimeo.com/external/60036047.mobile.mp4?s=4c10e55ea35844113e9b9f3b3ccab56b,"https://player.vimeo.com/external/60036047.m3u8?p=high,standard,mobile&s=844b190de3ebf858a1bcc00285669189",,
Neighborhoods Message,Eat,"Enjoy a Meal Together: Invite a neighbor (or two) for a BBQ, order in Pizza, or have everyone bring a dessert to share. Celebrate Special Occasions and Holidays: Bake cupcakes for birthdays. Send a casserole to new parents. Deliver Christmas cookies.",2013-02-19 12:00:00,1900-01-01 00:00:00,item_86,topic_15,BLESS Your Neighbors,,Oak Hills Church Community Life,https://i.vimeocdn.com/video/417418460_640.jpg,,60036049,https://player.vimeo.com/external/60036049.hd.mp4?s=9af53758c01873153e2c6a18c1bb8e2d,https://player.vimeo.com/external/60036049.sd.mp4?s=b94b70259ff2001fef09ec0a7dd3658c,https://player.vimeo.com/external/60036049.mobile.mp4?s=33d8669b052e503d76c1d0e1bd3ff30b,"https://player.vimeo.com/external/60036049.m3u8?p=high,standard,mobile&s=ffb7bc91538f06de1fd60123e9149069",,
Neighborhoods Message,Serve,"Serve While You’re Outside: Turn lawn chores into opportunities to serve: Mow lawns, water yards, etc. Serve In Times of Need: Visit when a neighbor passes away or has a baby. Deliver flowers or a gift. Coordinate meals with other neighbors.",2013-02-19 13:00:00,1900-01-01 00:00:00,item_87,topic_15,BLESS Your Neighbors,,Oak Hills Church Community Life,https://i.vimeocdn.com/video/417413676_640.jpg,,60036353,https://player.vimeo.com/external/60036353.hd.mp4?s=3700524824a2ecee2383f26f9f0f4527,https://player.vimeo.com/external/60036353.sd.mp4?s=cc0c528970e7128fdad991dc89669aed,https://player.vimeo.com/external/60036353.mobile.mp4?s=f6e67cc24930e8a6965413b3c89cd7f0,"https://player.vimeo.com/external/60036353.m3u8?p=high,standard,mobile&s=7b3fb955573c154a037c6a88e52f3048",,
